training_state,tls_id,action,tl_durations,reward,max_previous_local,max_new_local,neighbors,max_previous_neighbors,max_new_neighbors
783,JM0,"('decrease_red', 'JM0')","[70.0, 3.0, 40.0]",-1,0.6764374295377678,0.7105637138796779,['JM1'],[0.7818681062968307],[0.7818681062968307]
783,JM1,"('increase_red', 'JM1')","[75.0, 3.0, 35.0]",0,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.7105637138796779, 0.5981136415919025]","[0.7105637138796779, 0.6211180124223603]"
783,JM2,"('increase_red', 'JM2')","[74.0, 3.0, 34.0]",4,0.6211180124223603,0.5981136415919025,"['JM1', 'J3']","[0.7818681062968307, 0.07091080995902932]","[0.7818681062968307, 0.07091080995902932]"
784,J3,"('no_change', 'J3')","[70.0, 3.0, 26.0]",2,0.07091080995902932,0.07091080995902932,['JM2'],[0.6211180124223603],[0.6211180124223603]
784,JM0,"('decrease_green', 'JM0')","[70.0, 3.0, 39.0]",-3,0.7105637138796779,0.7816200852676457,['JM1'],[0.7818681062968307],[0.7818681062968307]
784,JM1,"('increase_red', 'JM1')","[75.0, 3.0, 36.0]",3,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.7816200852676457, 0.644122383252818]","[0.7816200852676457, 0.644122383252818]"
784,JM2,"('decrease_green', 'JM2')","[74.0, 3.0, 35.0]",0,0.644122383252818,0.6671267540832758,"['JM1', 'J3']","[0.7818681062968307, 0.047273873306019544]","[0.7818681062968307, 0.047273873306019544]"
785,J3,"('increase_green', 'J3')","[70.0, 3.0, 26.0]",3,0.047273873306019544,0.047273873306019544,['JM2'],[0.6671267540832758],[0.644122383252818]
785,JM0,"('no_change', 'JM0')","[69.0, 3.0, 39.0]",2,0.8526764566556135,0.8526764566556135,['JM1'],[0.7818681062968307],[0.7818681062968307]
785,JM1,"('increase_red', 'JM1')","[75.0, 3.0, 37.0]",0,0.7818681062968307,0.7818681062968307,"['JM0', 'JM2']","[0.8526764566556135, 0.644122383252818]","[0.8526764566556135, 0.6671267540832758]"
785,JM2,"('decrease_green', 'JM2')","[73.0, 3.0, 35.0]",3,0.6671267540832758,0.6671267540832758,"['JM1', 'J3']","[0.7818681062968307, 0.047273873306019544]","[0.7818681062968307, 0.047273873306019544]"
786,J3,"('increase_red', 'J3')","[71.0, 3.0, 26.0]",2,0.047273873306019544,0.047273873306019544,['JM2'],[0.6901311249137336],[0.6901311249137336]
